query,category,processed_query
Can children play in the backyard playground when the AQI is 250?,Outdoor Activities,child play backyard playground aqi 250
Can I take my infant out in a stroller when the AQI is 150?,Outdoor Activities,take infant stroller aqi 150
What does AQI category 'Moderate' indicate for public health?,AQI Information,aqi category moderate indicate public health
Are children with childhood asthma at severe risk during air alerts?,Vulnerable Groups,child childhood asthma severe risk air alert
Quick question: Can reusable silicone respirators offer better comfort in tropical smog?,Masks and Protection,quick question reusable silicone respirator offer better comfort tropical smog
Explain what AQI 275 indicates.,AQI Information,explain aqi 275 indicate
Can air pollution cause severe throat tickling and dry hacking cough?,Symptoms,air pollution cause severe throat tickle dry hack cough
Should outdoor recreational facilities close during purple air alerts?,Outdoor Activities,outdoor recreational facility close purple air alert
Please explain: How does smog affect the human cardiovascular system?,Health Effects,please explain smog affect human cardiovascular system
Can you tell me: Can air pollution increase the risk of heart attacks and stroke?,Health Effects,tell air pollution increase risk heart attack stroke
How does air pollution impact heart rate variability?,Health Effects,air pollution impact heart rate variability
Is short-term acute exposure to severe AQI more harmful than chronic moderate exposure?,Pollution Exposure,short term acute exposure severe aqi harmful chronic moderate exposure
"I want to know, Can bad air cause sharp stinging sensations in the trachea?",Symptoms,want know bad air cause sharp sting sensation trachea
"Hey AQI-Sense, Can dust storms from deserts cause hazardous AQI without toxic chemicals?",AQI Information,hey aqi sense dust storm desert cause hazardous aqi without toxic chemical
Are elderly seniors at heightened risk during severe air pollution spikes?,Vulnerable Groups,elderly senior heighten risk severe air pollution spike
Can you tell me: How does traffic pollution affect vascular endothelial function?,Health Effects,tell traffic pollution affect vascular endothelial function
Could you explain if what is the rate of lung clearance for insoluble diesel exhaust particles?,Pollution Exposure,could explain rate lung clearance insoluble diesel exhaust particle
How is PM2.5 converted into an AQI number?,AQI Information,pm25 convert aqi number
Should I avoid vacuuming with non-HEPA vacuums during poor air quality?,Precautions,avoid vacuum non hepa vacuum poor air quality
Quick question: Are school-age children more likely to miss school due to smog episodes?,Vulnerable Groups,quick question school age child likely miss school due smog episode
Can people with respiratory illnesses wear valved N95 masks for easier exhalation?,Masks and Protection,people respiratory illness wear valved n95 mask easier exhalation
"Could you explain if doctor, Could you explain if can smog cause burning sensations throughout the upper respiratory tract?",Symptoms,could explain doctor could explain smog cause burn sensation throughout upper respiratory tract
Could you explain if how do I check if my KN95 mask is genuine or counterfeit?,Masks and Protection,could explain check kn95 mask genuine counterfeit
How do nitrogen oxides impair the ciliary clearance mechanism in airways?,Respiratory Health,nitrogen oxide impair ciliary clearance mechanism airway
Is it true that how can schools protect indoor classrooms from outside toxic air?,Precautions,true school protect indoor classroom outside toxic air
How can industrial facilities protect their on-site workers during air alerts?,Precautions,industrial facility protect site worker air alert
What is the rate of lung clearance for insoluble diesel exhaust particles?,Pollution Exposure,rate lung clearance insoluble diesel exhaust particle
Does toxic air contribute to peripheral artery disease?,Health Effects,toxic air contribute peripheral artery disease
Please explain: How can I minimize smoke leakage under doors during stubble burning?,Precautions,please explain minimize smoke leakage door stubble burn
Can acute exposure to hazardous ozone levels cause immediate decline in athletic stamina?,Pollution Exposure,acute exposure hazardous ozone level cause immediate decline athletic stamen
"Doctor, Quick question: Quick question: How can public transport riders minimize exposure to bus and truck exhaust?",Precautions,doctor quick question quick question public transport rider minimize exposure bus truck exhaust
Does ambient air pollution contribute to retinal microvascular changes?,Health Effects,ambient air pollution contribute retinal microvascular change
Quick question: How do public health researchers estimate lifetime exposure to ambient particulate matter?,Pollution Exposure,quick question public health researcher estimate lifetime exposure ambient particulate matter
Can I walk my dog outside for an hour when the air quality is 55?,Outdoor Activities,walk dog outside hour air quality 55
"Can you tell me: Hey AQI-Sense, Can environmental pollution increase the risk of idiopathic pulmonary fibrosis?",Respiratory Health,tell hey aqi sense environmental pollution increase risk idiopathic pulmonary fibrosis
Could you explain if how many cigarettes equivalent is breathing air with an AQI of 250 for 24 hours?,Pollution Exposure,could explain many cigarette equivalent breathe air aqi 250 24 hour
Is an AQI of 280 considered severe?,AQI Information,aqi 280 consider severe
Should children wear specialized smaller sized N95 respirators?,Masks and Protection,child wear specialize smaller size n95 respirator
Please explain: Why are cancer patients undergoing chemotherapy considered high-risk?,Vulnerable Groups,please explain cancer patient undergo chemotherapy consider high risk
Why do I feel lightheaded after riding my scooter in heavy traffic?,Symptoms,feel lightheaded rid scooter heavy traffic
Can bad outdoor air make contact lenses unwearable due to stinging?,Symptoms,bad outdoor air make contact lens unwearable due sting
How does occupational exposure to construction dust compare to ambient smog?,Pollution Exposure,occupational exposure construction dust compare ambient smog
"Doctor, Why do pediatric doctors advise parents to keep young kids inside on red alert days?",Vulnerable Groups,doctor pediatric doctor advise parent keep young kid inside red alert day
"Hey AQI-Sense, I want to know, Can living in a polluted city shorten human life expectancy?",Health Effects,hey aqi sense want know live pollute city shorten human life expectancy
Please explain: Can particulate matter accelerate cognitive decline in dementia patients?,Vulnerable Groups,please explain particulate matter accelerate cognitive decline dementia patient
